Year,Population (Millions of people),Country
1980,116.769,Japan
1981,117.623,Japan
1982,118.451,Japan
1983,119.271,Japan
1984,120.05,Japan
1985,120.8,Japan
1986,121.446,Japan
1987,122.031,Japan
1988,122.548,Japan
1989,123.028,Japan
1990,123.438,Japan
1991,123.928,Japan
1992,124.367,Japan
1993,124.77,Japan
1994,125.116,Japan
1995,125.436,Japan
1996,125.711,Japan
1997,126.011,Japan
1998,126.349,Japan
1999,126.587,Japan
2000,126.831,Japan
2001,127.132,Japan
2002,127.4,Japan
2003,127.634,Japan
2004,127.734,Japan
2005,127.752,Japan
2006,127.746,Japan
2007,127.757,Japan
2008,127.692,Japan
2009,127.551,Japan
2010,127.594,Japan
2011,127.831,Japan
2012,127.552,Japan
2013,127.333,Japan
2014,127.12,Japan
2015,126.978,Japan
2016,126.96,Japan
2017,126.746,Japan
2018,126.495,Japan
2019,126.221,Japan
2020,125.849,Japan
2021,125.507,Japan
2022,125.171,Japan
2023,124.621,Japan
2024,124.04,Japan
2025,123.43,Japan
2026,122.795,Japan
2027,122.136,Japan
1980,67.561,Mexico
1981,69.268,Mexico
1982,70.973,Mexico
1983,72.672,Mexico
1984,74.359,Mexico
1985,76.031,Mexico
1986,77.69,Mexico
1987,79.339,Mexico
1988,80.971,Mexico
1989,82.579,Mexico
1990,84.17,Mexico
1991,85.749,Mexico
1992,87.312,Mexico
1993,88.851,Mexico
1994,90.363,Mexico
1995,91.844,Mexico
1996,93.295,Mexico
1997,94.721,Mexico
1998,96.117,Mexico
1999,97.483,Mexico
2000,98.785,Mexico
2001,100.105,Mexico
2002,101.494,Mexico
2003,102.89,Mexico
2004,104.272,Mexico
2005,105.669,Mexico
2006,107.155,Mexico
2007,108.745,Mexico
2008,110.405,Mexico
2009,112.095,Mexico
2010,113.749,Mexico
2011,115.367,Mexico
2012,116.936,Mexico
2013,118.454,Mexico
2014,119.936,Mexico
2015,121.348,Mexico
2016,122.715,Mexico
2017,124.042,Mexico
2018,125.328,Mexico
2019,126.578,Mexico
2020,127.792,Mexico
2021,128.972,Mexico
2022,130.118,Mexico
2023,131.23,Mexico
2024,132.308,Mexico
2025,133.352,Mexico
2026,134.363,Mexico
2027,135.381,Mexico
1980,56.33,United Kingdom
1981,56.358,United Kingdom
1982,56.291,United Kingdom
1983,56.316,United Kingdom
1984,56.409,United Kingdom
1985,56.554,United Kingdom
1986,56.684,United Kingdom
1987,56.804,United Kingdom
1988,56.916,United Kingdom
1989,57.077,United Kingdom
1990,57.238,United Kingdom
1991,57.439,United Kingdom
1992,57.585,United Kingdom
1993,57.714,United Kingdom
1994,57.862,United Kingdom
1995,58.025,United Kingdom
1996,58.164,United Kingdom
1997,58.314,United Kingdom
1998,58.475,United Kingdom
1999,58.684,United Kingdom
2000,58.886,United Kingdom
2001,59.113,United Kingdom
2002,59.366,United Kingdom
2003,59.637,United Kingdom
2004,59.95,United Kingdom
2005,60.413,United Kingdom
2006,60.827,United Kingdom
2007,61.319,United Kingdom
2008,61.824,United Kingdom
2009,62.261,United Kingdom
2010,62.76,United Kingdom
2011,63.285,United Kingdom
2012,63.705,United Kingdom
2013,64.106,United Kingdom
2014,64.597,United Kingdom
2015,65.11,United Kingdom
2016,65.648,United Kingdom
2017,66.04,United Kingdom
2018,66.436,United Kingdom
2019,66.797,United Kingdom
2020,67.081,United Kingdom
2021,67.351,United Kingdom
2022,67.596,United Kingdom
2023,67.844,United Kingdom
2024,68.082,United Kingdom
2025,68.305,United Kingdom
2026,68.512,United Kingdom
2027,68.702,United Kingdom
