Quarter,C,UK
Jan-Mar 1997,Native,7.1
Apr-Jun 1997,Native,6.8
Jul-Sep 1997,Native,6.8
Oct-Dec 1997,Native,6.1
Jan-Mar 1998,Native,6.2
Apr-Jun 1998,Native,6
Jul-Sep 1998,Native,6.2
Oct-Dec 1998,Native,5.8
Jan-Mar 1999,Native,6
Apr-Jun 1999,Native,5.7
Jul-Sep 1999,Native,5.9
Oct-Dec 1999,Native,5.4
Jan-Mar 2000,Native,5.6
Apr-Jun 2000,Native,5.1
Jul-Sep 2000,Native,5.3
Oct-Dec 2000,Native,4.8
Jan-Mar 2001,Native,4.9
Apr-Jun 2001,Native,4.7
Jul-Sep 2001,Native,5.2
Oct-Dec 2001,Native,4.8
Jan-Mar 2002,Native,5
Apr-Jun 2002,Native,4.8
Jul-Sep 2002,Native,5.2
Oct-Dec 2002,Native,4.7
Jan-Mar 2003,Native,4.9
Apr-Jun 2003,Native,4.5
Jul-Sep 2003,Native,5
Oct-Dec 2003,Native,4.5
Jan-Mar 2004,Native,4.6
Apr-Jun 2004,Native,4.4
Jul-Sep 2004,Native,4.7
Oct-Dec 2004,Native,4.4
Jan-Mar 2005,Native,4.5
Apr-Jun 2005,Native,4.4
Jul-Sep 2005,Native,4.7
Oct-Dec 2005,Native,4.7
Jan-Mar 2006,Native,4.9
Apr-Jun 2006,Native,5.1
Jul-Sep 2006,Native,5.4
Oct-Dec 2006,Native,5.1
Jan-Mar 2007,Native,5.1
Apr-Jun 2007,Native,4.9
Jul-Sep 2007,Native,5.3
Oct-Dec 2007,Native,4.8
Jan-Mar 2008,Native,4.9
Apr-Jun 2008,Native,5
Jul-Sep 2008,Native,5.9
Oct-Dec 2008,Native,6
Jan-Mar 2009,Native,6.9
Apr-Jun 2009,Native,7.5
Jul-Sep 2009,Native,7.8
Oct-Dec 2009,Native,7.4
Jan-Mar 2010,Native,7.8
Apr-Jun 2010,Native,7.5
Jul-Sep 2010,Native,7.8
Oct-Dec 2010,Native,7.6
Jan-Mar 2011,Native,7.6
Apr-Jun 2011,Native,7.7
Jul-Sep 2011,Native,8.4
Oct-Dec 2011,Native,8
Jan-Mar 2012,Native,7.9
Apr-Jun 2012,Native,7.8
Jul-Sep 2012,Native,7.9
Oct-Dec 2012,Native,7.4
Jan-Mar 2013,Native,7.5
Apr-Jun 2013,Native,7.5
Jul-Sep 2013,Native,7.6
Oct-Dec 2013,Native,6.9
Jan-Mar 2014,Native,6.5
Apr-Jun 2014,Native,6
Jul-Sep 2014,Native,6.1
Oct-Dec 2014,Native,5.4
Jan-Mar 2015,Native,5.3
Apr-Jun 2015,Native,5.3
Jul-Sep 2015,Native,5.3
Oct-Dec 2015,Native,4.7
Jan-Mar 2016,Native,4.9
Apr-Jun 2016,Native,4.7
Jul-Sep 2016,Native,4.9
Oct-Dec 2016,Native,4.5
Jan-Mar 2017,Native,4.3
Apr-Jun 2017,Native,4.2
Jul-Sep 2017,Native,4.4
Oct-Dec 2017,Native,4.1
Jan-Mar 2018,Native,4
Apr-Jun 2018,Native,3.8
Jul-Sep 2018,Native,4.1
Oct-Dec 2018,Native,3.8
Jan-Mar 2019,Native,3.6
Apr-Jun 2019,Native,3.6
Jul-Sep 2019,Native,4
Oct-Dec 2019,Native,3.7
Jan-Mar 2020,Native,3.8
Apr-Jun 2020,Native,3.8
Jul-Sep 2020,Native,4.7
Oct-Dec 2020,Native,4.8
Jan-Mar 2021,Native,4.5
Apr-Jun 2021,Native,4.3
Jul-Sep 2021,Native,4.2
Oct-Dec 2021,Native,3.8
Jan-Mar 2022,Native,3.4
Apr-Jun 2022,Native,3.4
Jul-Sep 2022,Native,3.5
Jan-Mar 1997,Migrants,11.1
Apr-Jun 1997,Migrants,10.4
Jul-Sep 1997,Migrants,10.2
Oct-Dec 1997,Migrants,9.2
