Quarter,C,U,U_predict,U_error,U1,U1_predict,U2_predict
Jan-Mar 2011,Native,7.6,7.684042553,-0.084042553,8.7,7.684042553,-0.084042553
Apr-Jun 2011,Native,7.7,7.579000925,0.120999075,8.9,7.579000925,0.120999075
Jul-Sep 2011,Native,8.4,7.473959297,0.926040703,9.8,7.473959297,0.926040703
Oct-Dec 2011,Native,8,7.368917669,0.631082331,9.9,7.368917669,0.631082331
Jan-Mar 2012,Native,7.9,7.263876041,0.636123959,10.1,7.263876041,0.636123959
Apr-Jun 2012,Native,7.8,7.158834413,0.641165587,8.7,7.158834413,0.641165587
Jul-Sep 2012,Native,7.9,7.053792784,0.846207216,9.3,7.053792784,0.846207216
Oct-Dec 2012,Native,7.4,6.948751156,0.451248844,9.1,6.948751156,0.451248844
Jan-Mar 2013,Native,7.5,6.843709528,0.656290472,9.5,6.843709528,0.656290472
Apr-Jun 2013,Native,7.5,6.7386679,0.7613321,8.7,6.7386679,0.7613321
Jul-Sep 2013,Native,7.6,6.633626272,0.966373728,9,6.633626272,0.966373728
Oct-Dec 2013,Native,6.9,6.528584644,0.371415356,7.8,6.528584644,0.371415356
Jan-Mar 2014,Native,6.5,6.423543016,0.076456984,8,6.423543016,0.076456984
Apr-Jun 2014,Native,6,6.318501388,-0.318501388,7.3,6.318501388,-0.318501388
Jul-Sep 2014,Native,6.1,6.213459759,-0.113459759,6.9,6.213459759,-0.113459759
Oct-Dec 2014,Native,5.4,6.108418131,-0.708418131,6.4,6.108418131,-0.708418131
Jan-Mar 2015,Native,5.3,6.003376503,-0.703376503,6.4,6.003376503,-0.703376503
Apr-Jun 2015,Native,5.3,5.898334875,-0.598334875,6.5,5.898334875,-0.598334875
Jul-Sep 2015,Native,5.3,5.793293247,-0.493293247,6.3,5.793293247,-0.493293247
Oct-Dec 2015,Native,4.7,5.688251619,-0.988251619,6.1,5.688251619,-0.988251619
Jan-Mar 2016,Native,4.9,5.583209991,-0.683209991,6.1,5.583209991,-0.683209991
Apr-Jun 2016,Native,4.7,5.478168363,-0.778168363,5.5,5.478168363,-0.778168363
Jul-Sep 2016,Native,4.9,5.373126735,-0.473126735,5.6,5.373126735,-0.473126735
Oct-Dec 2016,Native,4.5,5.268085106,-0.768085106,5.2,5.268085106,-0.768085106
Jan-Mar 2017,Native,4.3,5.163043478,-0.863043478,5.8,5.163043478,-0.863043478
Apr-Jun 2017,Native,4.2,5.05800185,-0.85800185,5.3,5.05800185,-0.85800185
Jul-Sep 2017,Native,4.4,4.952960222,-0.552960222,4.7,4.952960222,-0.552960222
Oct-Dec 2017,Native,4.1,4.847918594,-0.747918594,4.8,4.847918594,-0.747918594
Jan-Mar 2018,Native,4,4.742876966,-0.742876966,5,4.742876966,-0.742876966
Apr-Jun 2018,Native,3.8,4.637835338,-0.837835338,4.5,4.637835338,-0.837835338
Jul-Sep 2018,Native,4.1,4.53279371,-0.43279371,5,4.53279371,-0.43279371
Oct-Dec 2018,Native,3.8,4.427752081,-0.627752081,4.4,4.427752081,-0.627752081
Jan-Mar 2019,Native,3.6,4.322710453,-0.722710453,4.6,4.322710453,-0.722710453
Apr-Jun 2019,Native,3.6,4.217668825,-0.617668825,4.6,4.217668825,-0.617668825
Jul-Sep 2019,Native,4,4.112627197,-0.112627197,4.3,4.112627197,-0.112627197
Oct-Dec 2019,Native,3.7,4.007585569,-0.307585569,3.9,4.007585569,-0.307585569
Jan-Mar 2020,Native,3.8,3.902543941,-0.102543941,4.5,3.902543941,-0.102543941
Apr-Jun 2020,Native,3.8,3.797502313,0.002497687,4.6,3.797502313,0.002497687
Jul-Sep 2020,Native,4.7,3.692460685,1.007539315,6.5,3.692460685,1.007539315
Oct-Dec 2020,Native,4.8,3.587419056,1.212580944,7.1,3.587419056,1.212580944
Jan-Mar 2021,Native,4.5,3.482377428,1.017622572,6.7,3.482377428,1.017622572
Apr-Jun 2021,Native,4.3,3.3773358,0.9226642,5.7,3.3773358,0.9226642
Jul-Sep 2021,Native,4.2,3.272294172,0.927705828,5.7,3.272294172,0.927705828
Oct-Dec 2021,Native,3.8,3.167252544,0.632747456,5.3,3.167252544,0.632747456
Jan-Mar 2022,Native,3.4,3.062210916,0.337789084,4.8,3.062210916,0.337789084
Apr-Jun 2022,Native,3.4,2.957169288,0.442830712,4.6,2.957169288,0.442830712
Jul-Sep 2022,Native,3.5,2.85212766,0.64787234,5,2.85212766,0.64787234
